 iteration        1/    1000 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 83781.7 | learning rate: 6.000E-05 | global batch size:  1024 | lm loss: 1.082687E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.222 | tokens per gpu per second (tgs): 1564.447 | TFLOPs: 1.35 |
 iteration      230/    1000 | consumed samples:       235520 | consumed tokens:     60293120 | elapsed time per iteration (ms): 82611.2 | learning rate: 5.325E-05 | global batch size:  1024 | lm loss: 7.040019E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.395 | tokens per gpu per second (tgs): 1586.613 | TFLOPs: 1.37 |
 iteration      231/    1000 | consumed samples:       236544 | consumed tokens:     60555264 | elapsed time per iteration (ms): 82320.3 | learning rate: 5.320E-05 | global batch size:  1024 | lm loss: 7.003664E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.439 | tokens per gpu per second (tgs): 1592.219 | TFLOPs: 1.37 |
 iteration      232/    1000 | consumed samples:       237568 | consumed tokens:     60817408 | elapsed time per iteration (ms): 82516.6 | learning rate: 5.314E-05 | global batch size:  1024 | lm loss: 7.012319E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.410 | tokens per gpu per second (tgs): 1588.431 | TFLOPs: 1.37 |
 iteration      233/    1000 | consumed samples:       238592 | consumed tokens:     61079552 | elapsed time per iteration (ms): 82362.3 | learning rate: 5.308E-05 | global batch size:  1024 | lm loss: 6.998736E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.433 | tokens per gpu per second (tgs): 1591.407 | TFLOPs: 1.37 |
 iteration      234/    1000 | consumed samples:       239616 | consumed tokens:     61341696 | elapsed time per iteration (ms): 82340.4 | learning rate: 5.303E-05 | global batch size:  1024 | lm loss: 7.031722E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.436 | tokens per gpu per second (tgs): 1591.830 | TFLOPs: 1.37 |
 iteration      235/    1000 | consumed samples:       240640 | consumed tokens:     61603840 | elapsed time per iteration (ms): 82460.2 | learning rate: 5.297E-05 | global batch size:  1024 | lm loss: 7.008643E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.418 | tokens per gpu per second (tgs): 1589.518 | TFLOPs: 1.37 |
 iteration      236/    1000 | consumed samples:       241664 | consumed tokens:     61865984 | elapsed time per iteration (ms): 82619.7 | learning rate: 5.291E-05 | global batch size:  1024 | lm loss: 6.993188E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.394 | tokens per gpu per second (tgs): 1586.450 | TFLOPs: 1.36 |
 iteration      237/    1000 | consumed samples:       242688 | consumed tokens:     62128128 | elapsed time per iteration (ms): 82641.3 | learning rate: 5.286E-05 | global batch size:  1024 | lm loss: 7.007322E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.391 | tokens per gpu per second (tgs): 1586.035 | TFLOPs: 1.36 |
 iteration      238/    1000 | consumed samples:       243712 | consumed tokens:     62390272 | elapsed time per iteration (ms): 82630.6 | learning rate: 5.280E-05 | global batch size:  1024 | lm loss: 7.002111E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.393 | tokens per gpu per second (tgs): 1586.240 | TFLOPs: 1.36 |
 iteration      239/    1000 | consumed samples:       244736 | consumed tokens:     62652416 | elapsed time per iteration (ms): 82694.4 | learning rate: 5.274E-05 | global batch size:  1024 | lm loss: 6.984299E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.383 | tokens per gpu per second (tgs): 1585.016 | TFLOPs: 1.36 |
 iteration      240/    1000 | consumed samples:       245760 | consumed tokens:     62914560 | elapsed time per iteration (ms): 82761.4 | learning rate: 5.268E-05 | global batch size:  1024 | lm loss: 6.987358E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.373 | tokens per gpu per second (tgs): 1583.734 | TFLOPs: 1.36 |
 iteration      241/    1000 | consumed samples:       246784 | consumed tokens:     63176704 | elapsed time per iteration (ms): 82874.6 | learning rate: 5.262E-05 | global batch size:  1024 | lm loss: 6.966080E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.356 | tokens per gpu per second (tgs): 1581.570 | TFLOPs: 1.36 |
 iteration      242/    1000 | consumed samples:       247808 | consumed tokens:     63438848 | elapsed time per iteration (ms): 82712.4 | learning rate: 5.257E-05 | global batch size:  1024 | lm loss: 6.954436E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.380 | tokens per gpu per second (tgs): 1584.673 | TFLOPs: 1.36 |
 iteration      243/    1000 | consumed samples:       248832 | consumed tokens:     63700992 | elapsed time per iteration (ms): 82831.6 | learning rate: 5.251E-05 | global batch size:  1024 | lm loss: 6.947455E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.362 | tokens per gpu per second (tgs): 1582.391 | TFLOPs: 1.36 |
 iteration      244/    1000 | consumed samples:       249856 | consumed tokens:     63963136 | elapsed time per iteration (ms): 82556.2 | learning rate: 5.245E-05 | global batch size:  1024 | lm loss: 6.935798E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.404 | tokens per gpu per second (tgs): 1587.671 | TFLOPs: 1.37 |
 iteration      245/    1000 | consumed samples:       250880 | consumed tokens:     64225280 | elapsed time per iteration (ms): 82667.0 | learning rate: 5.239E-05 | global batch size:  1024 | lm loss: 6.955822E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.387 | tokens per gpu per second (tgs): 1585.543 | TFLOPs: 1.36 |
 iteration      246/    1000 | consumed samples:       251904 | consumed tokens:     64487424 | elapsed time per iteration (ms): 82737.7 | learning rate: 5.233E-05 | global batch size:  1024 | lm loss: 6.968456E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.376 | tokens per gpu per second (tgs): 1584.188 | TFLOPs: 1.36 |
 iteration      247/    1000 | consumed samples:       252928 | consumed tokens:     64749568 | elapsed time per iteration (ms): 82436.5 | learning rate: 5.227E-05 | global batch size:  1024 | lm loss: 6.982933E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.422 | tokens per gpu per second (tgs): 1589.975 | TFLOPs: 1.37 |
 iteration      248/    1000 | consumed samples:       253952 | consumed tokens:     65011712 | elapsed time per iteration (ms): 82494.2 | learning rate: 5.221E-05 | global batch size:  1024 | lm loss: 6.976401E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.413 | tokens per gpu per second (tgs): 1588.864 | TFLOPs: 1.37 |
 iteration      249/    1000 | consumed samples:       254976 | consumed tokens:     65273856 | elapsed time per iteration (ms): 82588.9 | learning rate: 5.215E-05 | global batch size:  1024 | lm loss: 6.995204E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.399 | tokens per gpu per second (tgs): 1587.041 | TFLOPs: 1.37 |
 iteration      250/    1000 | consumed samples:       256000 | consumed tokens:     65536000 | elapsed time per iteration (ms): 82646.0 | learning rate: 5.209E-05 | global batch size:  1024 | lm loss: 6.951360E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.390 | tokens per gpu per second (tgs): 1585.945 | TFLOPs: 1.36 |
 iteration      251/    1000 | consumed samples:       257024 | consumed tokens:     65798144 | elapsed time per iteration (ms): 82634.5 | learning rate: 5.203E-05 | global batch size:  1024 | lm loss: 6.907172E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.392 | tokens per gpu per second (tgs): 1586.165 | TFLOPs: 1.36 |
 iteration      252/    1000 | consumed samples:       258048 | consumed tokens:     66060288 | elapsed time per iteration (ms): 82725.1 | learning rate: 5.197E-05 | global batch size:  1024 | lm loss: 6.937217E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.378 | tokens per gpu per second (tgs): 1584.429 | TFLOPs: 1.36 |
 iteration      253/    1000 | consumed samples:       259072 | consumed tokens:     66322432 | elapsed time per iteration (ms): 82752.6 | learning rate: 5.191E-05 | global batch size:  1024 | lm loss: 6.957994E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.374 | tokens per gpu per second (tgs): 1583.903 | TFLOPs: 1.36 |
 iteration      254/    1000 | consumed samples:       260096 | consumed tokens:     66584576 | elapsed time per iteration (ms): 82533.4 | learning rate: 5.185E-05 | global batch size:  1024 | lm loss: 6.935071E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.407 | tokens per gpu per second (tgs): 1588.109 | TFLOPs: 1.37 |
 iteration      255/    1000 | consumed samples:       261120 | consumed tokens:     66846720 | elapsed time per iteration (ms): 82462.8 | learning rate: 5.179E-05 | global batch size:  1024 | lm loss: 6.943205E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.418 | tokens per gpu per second (tgs): 1589.469 | TFLOPs: 1.37 |
 iteration      256/    1000 | consumed samples:       262144 | consumed tokens:     67108864 | elapsed time per iteration (ms): 82523.3 | learning rate: 5.173E-05 | global batch size:  1024 | lm loss: 6.914993E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.409 | tokens per gpu per second (tgs): 1588.303 | TFLOPs: 1.37 |
 iteration      257/    1000 | consumed samples:       263168 | consumed tokens:     67371008 | elapsed time per iteration (ms): 82697.5 | learning rate: 5.167E-05 | global batch size:  1024 | lm loss: 6.913198E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.382 | tokens per gpu per second (tgs): 1584.958 | TFLOPs: 1.36 |
 iteration      258/    1000 | consumed samples:       264192 | consumed tokens:     67633152 | elapsed time per iteration (ms): 82467.2 | learning rate: 5.161E-05 | global batch size:  1024 | lm loss: 6.897169E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.417 | tokens per gpu per second (tgs): 1589.384 | TFLOPs: 1.37 |
 iteration      259/    1000 | consumed samples:       265216 | consumed tokens:     67895296 | elapsed time per iteration (ms): 82545.7 | learning rate: 5.154E-05 | global batch size:  1024 | lm loss: 6.911450E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.405 | tokens per gpu per second (tgs): 1587.871 | TFLOPs: 1.37 |
 iteration      260/    1000 | consumed samples:       266240 | consumed tokens:     68157440 | elapsed time per iteration (ms): 82448.5 | learning rate: 5.148E-05 | global batch size:  1024 | lm loss: 6.922670E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.420 | tokens per gpu per second (tgs): 1589.744 | TFLOPs: 1.37 |
 iteration      261/    1000 | consumed samples:       267264 | consumed tokens:     68419584 | elapsed time per iteration (ms): 82470.6 | learning rate: 5.142E-05 | global batch size:  1024 | lm loss: 6.933400E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.417 | tokens per gpu per second (tgs): 1589.317 | TFLOPs: 1.37 |
 iteration      262/    1000 | consumed samples:       268288 | consumed tokens:     68681728 | elapsed time per iteration (ms): 82403.1 | learning rate: 5.136E-05 | global batch size:  1024 | lm loss: 6.930617E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.427 | tokens per gpu per second (tgs): 1590.620 | TFLOPs: 1.37 |
 iteration      263/    1000 | consumed samples:       269312 | consumed tokens:     68943872 | elapsed time per iteration (ms): 82482.4 | learning rate: 5.130E-05 | global batch size:  1024 | lm loss: 6.928843E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.415 | tokens per gpu per second (tgs): 1589.091 | TFLOPs: 1.37 |
 iteration      264/    1000 | consumed samples:       270336 | consumed tokens:     69206016 | elapsed time per iteration (ms): 82638.8 | learning rate: 5.123E-05 | global batch size:  1024 | lm loss: 6.885814E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.391 | tokens per gpu per second (tgs): 1586.083 | TFLOPs: 1.36 |
 iteration      265/    1000 | consumed samples:       271360 | consumed tokens:     69468160 | elapsed time per iteration (ms): 82476.4 | learning rate: 5.117E-05 | global batch size:  1024 | lm loss: 6.879996E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.416 | tokens per gpu per second (tgs): 1589.207 | TFLOPs: 1.37 |
 iteration      266/    1000 | consumed samples:       272384 | consumed tokens:     69730304 | elapsed time per iteration (ms): 82481.2 | learning rate: 5.111E-05 | global batch size:  1024 | lm loss: 6.891359E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.415 | tokens per gpu per second (tgs): 1589.114 | TFLOPs: 1.37 |
 iteration      267/    1000 | consumed samples:       273408 | consumed tokens:     69992448 | elapsed time per iteration (ms): 82578.0 | learning rate: 5.105E-05 | global batch size:  1024 | lm loss: 6.898008E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.400 | tokens per gpu per second (tgs): 1587.250 | TFLOPs: 1.37 |
 iteration      268/    1000 | consumed samples:       274432 | consumed tokens:     70254592 | elapsed time per iteration (ms): 82434.3 | learning rate: 5.098E-05 | global batch size:  1024 | lm loss: 6.857456E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.422 | tokens per gpu per second (tgs): 1590.017 | TFLOPs: 1.37 |
 iteration      269/    1000 | consumed samples:       275456 | consumed tokens:     70516736 | elapsed time per iteration (ms): 82560.3 | learning rate: 5.092E-05 | global batch size:  1024 | lm loss: 6.849483E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.403 | tokens per gpu per second (tgs): 1587.590 | TFLOPs: 1.37 |
 iteration      270/    1000 | consumed samples:       276480 | consumed tokens:     70778880 | elapsed time per iteration (ms): 82514.0 | learning rate: 5.086E-05 | global batch size:  1024 | lm loss: 6.882638E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.410 | tokens per gpu per second (tgs): 1588.483 | TFLOPs: 1.37 |
 iteration      271/    1000 | consumed samples:       277504 | consumed tokens:     71041024 | elapsed time per iteration (ms): 82453.0 | learning rate: 5.079E-05 | global batch size:  1024 | lm loss: 6.883315E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.419 | tokens per gpu per second (tgs): 1589.657 | TFLOPs: 1.37 |
 iteration      272/    1000 | consumed samples:       278528 | consumed tokens:     71303168 | elapsed time per iteration (ms): 82814.1 | learning rate: 5.073E-05 | global batch size:  1024 | lm loss: 6.860912E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.365 | tokens per gpu per second (tgs): 1582.725 | TFLOPs: 1.36 |
 iteration      273/    1000 | consumed samples:       279552 | consumed tokens:     71565312 | elapsed time per iteration (ms): 82470.2 | learning rate: 5.066E-05 | global batch size:  1024 | lm loss: 6.875469E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.417 | tokens per gpu per second (tgs): 1589.326 | TFLOPs: 1.37 |
 iteration      274/    1000 | consumed samples:       280576 | consumed tokens:     71827456 | elapsed time per iteration (ms): 82414.1 | learning rate: 5.060E-05 | global batch size:  1024 | lm loss: 6.864086E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.425 | tokens per gpu per second (tgs): 1590.408 | TFLOPs: 1.37 |
 iteration      275/    1000 | consumed samples:       281600 | consumed tokens:     72089600 | elapsed time per iteration (ms): 81613.0 | learning rate: 5.054E-05 | global batch size:  1024 | lm loss: 6.870563E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.547 | tokens per gpu per second (tgs): 1606.018 | TFLOPs: 1.38 |
 iteration      276/    1000 | consumed samples:       282624 | consumed tokens:     72351744 | elapsed time per iteration (ms): 81327.3 | learning rate: 5.047E-05 | global batch size:  1024 | lm loss: 6.851944E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.591 | tokens per gpu per second (tgs): 1611.660 | TFLOPs: 1.39 |
 iteration      277/    1000 | consumed samples:       283648 | consumed tokens:     72613888 | elapsed time per iteration (ms): 82210.3 | learning rate: 5.041E-05 | global batch size:  1024 | lm loss: 6.884278E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.456 | tokens per gpu per second (tgs): 1594.349 | TFLOPs: 1.37 |
 iteration      278/    1000 | consumed samples:       284672 | consumed tokens:     72876032 | elapsed time per iteration (ms): 82271.7 | learning rate: 5.034E-05 | global batch size:  1024 | lm loss: 6.861113E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.447 | tokens per gpu per second (tgs): 1593.160 | TFLOPs: 1.37 |
 iteration      279/    1000 | consumed samples:       285696 | consumed tokens:     73138176 | elapsed time per iteration (ms): 82413.8 | learning rate: 5.028E-05 | global batch size:  1024 | lm loss: 6.853338E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.425 | tokens per gpu per second (tgs): 1590.413 | TFLOPs: 1.37 |
 iteration      280/    1000 | consumed samples:       286720 | consumed tokens:     73400320 | elapsed time per iteration (ms): 82397.2 | learning rate: 5.021E-05 | global batch size:  1024 | lm loss: 6.857621E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.428 | tokens per gpu per second (tgs): 1590.733 | TFLOPs: 1.37 |
 iteration      281/    1000 | consumed samples:       287744 | consumed tokens:     73662464 | elapsed time per iteration (ms): 82383.0 | learning rate: 5.015E-05 | global batch size:  1024 | lm loss: 6.836823E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.430 | tokens per gpu per second (tgs): 1591.009 | TFLOPs: 1.37 |
 iteration      282/    1000 | consumed samples:       288768 | consumed tokens:     73924608 | elapsed time per iteration (ms): 82380.1 | learning rate: 5.008E-05 | global batch size:  1024 | lm loss: 6.837546E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.430 | tokens per gpu per second (tgs): 1591.063 | TFLOPs: 1.37 |
 iteration      283/    1000 | consumed samples:       289792 | consumed tokens:     74186752 | elapsed time per iteration (ms): 82480.5 | learning rate: 5.001E-05 | global batch size:  1024 | lm loss: 6.848377E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.415 | tokens per gpu per second (tgs): 1589.127 | TFLOPs: 1.37 |
 iteration      284/    1000 | consumed samples:       290816 | consumed tokens:     74448896 | elapsed time per iteration (ms): 82190.5 | learning rate: 4.995E-05 | global batch size:  1024 | lm loss: 6.838933E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.459 | tokens per gpu per second (tgs): 1594.735 | TFLOPs: 1.37 |
 iteration      285/    1000 | consumed samples:       291840 | consumed tokens:     74711040 | elapsed time per iteration (ms): 82268.4 | learning rate: 4.988E-05 | global batch size:  1024 | lm loss: 6.847499E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.447 | tokens per gpu per second (tgs): 1593.225 | TFLOPs: 1.37 |
 iteration      286/    1000 | consumed samples:       292864 | consumed tokens:     74973184 | elapsed time per iteration (ms): 82161.9 | learning rate: 4.982E-05 | global batch size:  1024 | lm loss: 6.858976E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.463 | tokens per gpu per second (tgs): 1595.289 | TFLOPs: 1.37 |
 iteration      287/    1000 | consumed samples:       293888 | consumed tokens:     75235328 | elapsed time per iteration (ms): 82264.7 | learning rate: 4.975E-05 | global batch size:  1024 | lm loss: 6.825980E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.448 | tokens per gpu per second (tgs): 1593.297 | TFLOPs: 1.37 |
 iteration      288/    1000 | consumed samples:       294912 | consumed tokens:     75497472 | elapsed time per iteration (ms): 82118.1 | learning rate: 4.968E-05 | global batch size:  1024 | lm loss: 6.845735E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.470 | tokens per gpu per second (tgs): 1596.140 | TFLOPs: 1.37 |
 iteration      289/    1000 | consumed samples:       295936 | consumed tokens:     75759616 | elapsed time per iteration (ms): 82384.7 | learning rate: 4.962E-05 | global batch size:  1024 | lm loss: 6.829203E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.429 | tokens per gpu per second (tgs): 1590.975 | TFLOPs: 1.37 |
 iteration      290/    1000 | consumed samples:       296960 | consumed tokens:     76021760 | elapsed time per iteration (ms): 82440.9 | learning rate: 4.955E-05 | global batch size:  1024 | lm loss: 6.827515E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.421 | tokens per gpu per second (tgs): 1589.890 | TFLOPs: 1.37 |
 iteration      291/    1000 | consumed samples:       297984 | consumed tokens:     76283904 | elapsed time per iteration (ms): 82305.5 | learning rate: 4.948E-05 | global batch size:  1024 | lm loss: 6.844096E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.441 | tokens per gpu per second (tgs): 1592.507 | TFLOPs: 1.37 |
 iteration      292/    1000 | consumed samples:       299008 | consumed tokens:     76546048 | elapsed time per iteration (ms): 82450.0 | learning rate: 4.941E-05 | global batch size:  1024 | lm loss: 6.799407E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.420 | tokens per gpu per second (tgs): 1589.714 | TFLOPs: 1.37 |
 iteration      293/    1000 | consumed samples:       300032 | consumed tokens:     76808192 | elapsed time per iteration (ms): 82574.9 | learning rate: 4.935E-05 | global batch size:  1024 | lm loss: 6.858691E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.401 | tokens per gpu per second (tgs): 1587.311 | TFLOPs: 1.37 |
 iteration      294/    1000 | consumed samples:       301056 | consumed tokens:     77070336 | elapsed time per iteration (ms): 82412.4 | learning rate: 4.928E-05 | global batch size:  1024 | lm loss: 6.801699E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.425 | tokens per gpu per second (tgs): 1590.440 | TFLOPs: 1.37 |
 iteration      295/    1000 | consumed samples:       302080 | consumed tokens:     77332480 | elapsed time per iteration (ms): 82709.1 | learning rate: 4.921E-05 | global batch size:  1024 | lm loss: 6.832836E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.381 | tokens per gpu per second (tgs): 1584.734 | TFLOPs: 1.36 |
 iteration      296/    1000 | consumed samples:       303104 | consumed tokens:     77594624 | elapsed time per iteration (ms): 82506.6 | learning rate: 4.914E-05 | global batch size:  1024 | lm loss: 6.801133E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.411 | tokens per gpu per second (tgs): 1588.624 | TFLOPs: 1.37 |
 iteration      297/    1000 | consumed samples:       304128 | consumed tokens:     77856768 | elapsed time per iteration (ms): 82339.5 | learning rate: 4.908E-05 | global batch size:  1024 | lm loss: 6.812130E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.436 | tokens per gpu per second (tgs): 1591.847 | TFLOPs: 1.37 |
 iteration      298/    1000 | consumed samples:       305152 | consumed tokens:     78118912 | elapsed time per iteration (ms): 82472.6 | learning rate: 4.901E-05 | global batch size:  1024 | lm loss: 6.819315E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.416 | tokens per gpu per second (tgs): 1589.279 | TFLOPs: 1.37 |
 iteration      299/    1000 | consumed samples:       306176 | consumed tokens:     78381056 | elapsed time per iteration (ms): 82462.1 | learning rate: 4.894E-05 | global batch size:  1024 | lm loss: 6.820311E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.418 | tokens per gpu per second (tgs): 1589.482 | TFLOPs: 1.37 |
 iteration      300/    1000 | consumed samples:       307200 | consumed tokens:     78643200 | elapsed time per iteration (ms): 82325.5 | learning rate: 4.887E-05 | global batch size:  1024 | lm loss: 6.812687E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.438 | tokens per gpu per second (tgs): 1592.119 | TFLOPs: 1.37 |
 iteration      301/    1000 | consumed samples:       308224 | consumed tokens:     78905344 | elapsed time per iteration (ms): 82596.3 | learning rate: 4.880E-05 | global batch size:  1024 | lm loss: 6.816934E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.398 | tokens per gpu per second (tgs): 1586.900 | TFLOPs: 1.37 |
 iteration      302/    1000 | consumed samples:       309248 | consumed tokens:     79167488 | elapsed time per iteration (ms): 82239.8 | learning rate: 4.873E-05 | global batch size:  1024 | lm loss: 6.786146E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.451 | tokens per gpu per second (tgs): 1593.779 | TFLOPs: 1.37 |
