 iteration        1/     100 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 43866.0 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.083184E+01 | loss scale: 1.0 | grad norm: 7.826 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 23.344 | tokens per gpu per second (tgs): 2988.006 | TFLOPs: 2.57 |
 iteration       67/     100 | consumed samples:        68608 | consumed tokens:     17563648 | elapsed time per iteration (ms): 38894.5 | learning rate: 1.926E-05 | global batch size:  1024 | lm loss: 9.136758E+00 | loss scale: 1.0 | grad norm: 1.869 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.328 | tokens per gpu per second (tgs): 3369.938 | TFLOPs: 2.90 |
 iteration       68/     100 | consumed samples:        69632 | consumed tokens:     17825792 | elapsed time per iteration (ms): 38877.7 | learning rate: 1.853E-05 | global batch size:  1024 | lm loss: 9.137611E+00 | loss scale: 1.0 | grad norm: 1.893 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.339 | tokens per gpu per second (tgs): 3371.392 | TFLOPs: 2.90 |
 iteration       69/     100 | consumed samples:        70656 | consumed tokens:     18087936 | elapsed time per iteration (ms): 38868.8 | learning rate: 1.782E-05 | global batch size:  1024 | lm loss: 9.122418E+00 | loss scale: 1.0 | grad norm: 1.815 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.345 | tokens per gpu per second (tgs): 3372.168 | TFLOPs: 2.90 |
 iteration       70/     100 | consumed samples:        71680 | consumed tokens:     18350080 | elapsed time per iteration (ms): 38879.3 | learning rate: 1.713E-05 | global batch size:  1024 | lm loss: 9.111409E+00 | loss scale: 1.0 | grad norm: 1.835 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.338 | tokens per gpu per second (tgs): 3371.250 | TFLOPs: 2.90 |
 iteration       71/     100 | consumed samples:        72704 | consumed tokens:     18612224 | elapsed time per iteration (ms): 38874.1 | learning rate: 1.645E-05 | global batch size:  1024 | lm loss: 9.102028E+00 | loss scale: 1.0 | grad norm: 1.848 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.341 | tokens per gpu per second (tgs): 3371.705 | TFLOPs: 2.90 |
 iteration       72/     100 | consumed samples:        73728 | consumed tokens:     18874368 | elapsed time per iteration (ms): 38846.5 | learning rate: 1.579E-05 | global batch size:  1024 | lm loss: 9.092761E+00 | loss scale: 1.0 | grad norm: 1.840 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.360 | tokens per gpu per second (tgs): 3374.100 | TFLOPs: 2.90 |
 iteration       73/     100 | consumed samples:        74752 | consumed tokens:     19136512 | elapsed time per iteration (ms): 39063.3 | learning rate: 1.514E-05 | global batch size:  1024 | lm loss: 9.085139E+00 | loss scale: 1.0 | grad norm: 1.812 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.214 | tokens per gpu per second (tgs): 3355.376 | TFLOPs: 2.89 |
 iteration       74/     100 | consumed samples:        75776 | consumed tokens:     19398656 | elapsed time per iteration (ms): 41649.7 | learning rate: 1.452E-05 | global batch size:  1024 | lm loss: 9.080432E+00 | loss scale: 1.0 | grad norm: 1.821 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.586 | tokens per gpu per second (tgs): 3147.009 | TFLOPs: 2.71 |
 iteration       75/     100 | consumed samples:        76800 | consumed tokens:     19660800 | elapsed time per iteration (ms): 41492.8 | learning rate: 1.391E-05 | global batch size:  1024 | lm loss: 9.067508E+00 | loss scale: 1.0 | grad norm: 1.846 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.679 | tokens per gpu per second (tgs): 3158.906 | TFLOPs: 2.72 |
 iteration       76/     100 | consumed samples:        77824 | consumed tokens:     19922944 | elapsed time per iteration (ms): 41486.8 | learning rate: 1.332E-05 | global batch size:  1024 | lm loss: 9.073002E+00 | loss scale: 1.0 | grad norm: 1.794 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.683 | tokens per gpu per second (tgs): 3159.364 | TFLOPs: 2.72 |
 iteration       77/     100 | consumed samples:        78848 | consumed tokens:     20185088 | elapsed time per iteration (ms): 41506.9 | learning rate: 1.275E-05 | global batch size:  1024 | lm loss: 9.051671E+00 | loss scale: 1.0 | grad norm: 1.852 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.671 | tokens per gpu per second (tgs): 3157.835 | TFLOPs: 2.72 |
 iteration       78/     100 | consumed samples:        79872 | consumed tokens:     20447232 | elapsed time per iteration (ms): 41510.2 | learning rate: 1.220E-05 | global batch size:  1024 | lm loss: 9.052665E+00 | loss scale: 1.0 | grad norm: 1.817 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.669 | tokens per gpu per second (tgs): 3157.589 | TFLOPs: 2.72 |
 iteration       79/     100 | consumed samples:        80896 | consumed tokens:     20709376 | elapsed time per iteration (ms): 41492.8 | learning rate: 1.167E-05 | global batch size:  1024 | lm loss: 9.050932E+00 | loss scale: 1.0 | grad norm: 1.809 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.679 | tokens per gpu per second (tgs): 3158.913 | TFLOPs: 2.72 |
 iteration       80/     100 | consumed samples:        81920 | consumed tokens:     20971520 | elapsed time per iteration (ms): 41513.2 | learning rate: 1.116E-05 | global batch size:  1024 | lm loss: 9.039197E+00 | loss scale: 1.0 | grad norm: 1.820 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.667 | tokens per gpu per second (tgs): 3157.357 | TFLOPs: 2.72 |
 iteration       81/     100 | consumed samples:        82944 | consumed tokens:     21233664 | elapsed time per iteration (ms): 41486.1 | learning rate: 1.067E-05 | global batch size:  1024 | lm loss: 9.042548E+00 | loss scale: 1.0 | grad norm: 1.805 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.683 | tokens per gpu per second (tgs): 3159.420 | TFLOPs: 2.72 |
 iteration       82/     100 | consumed samples:        83968 | consumed tokens:     21495808 | elapsed time per iteration (ms): 41482.7 | learning rate: 1.020E-05 | global batch size:  1024 | lm loss: 9.029482E+00 | loss scale: 1.0 | grad norm: 1.788 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.685 | tokens per gpu per second (tgs): 3159.678 | TFLOPs: 2.72 |
 iteration       83/     100 | consumed samples:        84992 | consumed tokens:     21757952 | elapsed time per iteration (ms): 41501.7 | learning rate: 9.760E-06 | global batch size:  1024 | lm loss: 9.028131E+00 | loss scale: 1.0 | grad norm: 1.798 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.674 | tokens per gpu per second (tgs): 3158.230 | TFLOPs: 2.72 |
 iteration       84/     100 | consumed samples:        86016 | consumed tokens:     22020096 | elapsed time per iteration (ms): 41501.1 | learning rate: 9.340E-06 | global batch size:  1024 | lm loss: 9.018481E+00 | loss scale: 1.0 | grad norm: 1.809 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.674 | tokens per gpu per second (tgs): 3158.275 | TFLOPs: 2.72 |
 iteration       85/     100 | consumed samples:        87040 | consumed tokens:     22282240 | elapsed time per iteration (ms): 41693.6 | learning rate: 8.943E-06 | global batch size:  1024 | lm loss: 9.024302E+00 | loss scale: 1.0 | grad norm: 1.796 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.560 | tokens per gpu per second (tgs): 3143.697 | TFLOPs: 2.70 |
 iteration       86/     100 | consumed samples:        88064 | consumed tokens:     22544384 | elapsed time per iteration (ms): 41523.5 | learning rate: 8.570E-06 | global batch size:  1024 | lm loss: 9.012013E+00 | loss scale: 1.0 | grad norm: 1.800 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.661 | tokens per gpu per second (tgs): 3156.578 | TFLOPs: 2.72 |
 iteration       87/     100 | consumed samples:        89088 | consumed tokens:     22806528 | elapsed time per iteration (ms): 41511.7 | learning rate: 8.221E-06 | global batch size:  1024 | lm loss: 9.007965E+00 | loss scale: 1.0 | grad norm: 1.792 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.668 | tokens per gpu per second (tgs): 3157.474 | TFLOPs: 2.72 |
 iteration       88/     100 | consumed samples:        90112 | consumed tokens:     23068672 | elapsed time per iteration (ms): 41493.5 | learning rate: 7.896E-06 | global batch size:  1024 | lm loss: 8.999851E+00 | loss scale: 1.0 | grad norm: 1.813 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.679 | tokens per gpu per second (tgs): 3158.858 | TFLOPs: 2.72 |
 iteration       89/     100 | consumed samples:        91136 | consumed tokens:     23330816 | elapsed time per iteration (ms): 41682.0 | learning rate: 7.596E-06 | global batch size:  1024 | lm loss: 8.998191E+00 | loss scale: 1.0 | grad norm: 1.800 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.567 | tokens per gpu per second (tgs): 3144.574 | TFLOPs: 2.71 |
 iteration       90/     100 | consumed samples:        92160 | consumed tokens:     23592960 | elapsed time per iteration (ms): 41499.0 | learning rate: 7.321E-06 | global batch size:  1024 | lm loss: 9.008145E+00 | loss scale: 1.0 | grad norm: 1.809 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.675 | tokens per gpu per second (tgs): 3158.434 | TFLOPs: 2.72 |
 iteration       91/     100 | consumed samples:        93184 | consumed tokens:     23855104 | elapsed time per iteration (ms): 41476.9 | learning rate: 7.072E-06 | global batch size:  1024 | lm loss: 8.997718E+00 | loss scale: 1.0 | grad norm: 1.805 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.688 | tokens per gpu per second (tgs): 3160.120 | TFLOPs: 2.72 |
 iteration       92/     100 | consumed samples:        94208 | consumed tokens:     24117248 | elapsed time per iteration (ms): 41499.1 | learning rate: 6.848E-06 | global batch size:  1024 | lm loss: 8.994319E+00 | loss scale: 1.0 | grad norm: 1.803 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.675 | tokens per gpu per second (tgs): 3158.427 | TFLOPs: 2.72 |
 iteration       93/     100 | consumed samples:        95232 | consumed tokens:     24379392 | elapsed time per iteration (ms): 41504.3 | learning rate: 6.650E-06 | global batch size:  1024 | lm loss: 8.972984E+00 | loss scale: 1.0 | grad norm: 1.809 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.672 | tokens per gpu per second (tgs): 3158.036 | TFLOPs: 2.72 |
 iteration       94/     100 | consumed samples:        96256 | consumed tokens:     24641536 | elapsed time per iteration (ms): 41505.4 | learning rate: 6.478E-06 | global batch size:  1024 | lm loss: 8.985896E+00 | loss scale: 1.0 | grad norm: 1.798 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.671 | tokens per gpu per second (tgs): 3157.951 | TFLOPs: 2.72 |
 iteration       95/     100 | consumed samples:        97280 | consumed tokens:     24903680 | elapsed time per iteration (ms): 41499.3 | learning rate: 6.332E-06 | global batch size:  1024 | lm loss: 8.968276E+00 | loss scale: 1.0 | grad norm: 1.810 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.675 | tokens per gpu per second (tgs): 3158.414 | TFLOPs: 2.72 |
 iteration       96/     100 | consumed samples:        98304 | consumed tokens:     25165824 | elapsed time per iteration (ms): 41710.7 | learning rate: 6.213E-06 | global batch size:  1024 | lm loss: 8.976826E+00 | loss scale: 1.0 | grad norm: 1.817 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.550 | tokens per gpu per second (tgs): 3142.407 | TFLOPs: 2.70 |
 iteration       97/     100 | consumed samples:        99328 | consumed tokens:     25427968 | elapsed time per iteration (ms): 41507.3 | learning rate: 6.120E-06 | global batch size:  1024 | lm loss: 8.968046E+00 | loss scale: 1.0 | grad norm: 1.817 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.670 | tokens per gpu per second (tgs): 3157.803 | TFLOPs: 2.72 |
 iteration       98/     100 | consumed samples:       100352 | consumed tokens:     25690112 | elapsed time per iteration (ms): 41487.5 | learning rate: 6.053E-06 | global batch size:  1024 | lm loss: 8.969587E+00 | loss scale: 1.0 | grad norm: 1.798 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.682 | tokens per gpu per second (tgs): 3159.310 | TFLOPs: 2.72 |
 iteration       99/     100 | consumed samples:       101376 | consumed tokens:     25952256 | elapsed time per iteration (ms): 41507.8 | learning rate: 6.013E-06 | global batch size:  1024 | lm loss: 8.962415E+00 | loss scale: 1.0 | grad norm: 1.809 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.670 | tokens per gpu per second (tgs): 3157.766 | TFLOPs: 2.72 |
 iteration      100/     100 | consumed samples:       102400 | consumed tokens:     26214400 | elapsed time per iteration (ms): 41514.6 | learning rate: 6.000E-06 | global batch size:  1024 | lm loss: 8.967449E+00 | loss scale: 1.0 | grad norm: 1.810 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.666 | tokens per gpu per second (tgs): 3157.254 | TFLOPs: 2.72 |
