 iteration        1/     100 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 129204.5 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.083638E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.925 | tokens per gpu per second (tgs): 1014.454 | TFLOPs: 0.87 |
 iteration       74/     100 | consumed samples:        75776 | consumed tokens:     19398656 | elapsed time per iteration (ms): 127771.6 | learning rate: 1.452E-05 | global batch size:  1024 | lm loss: 9.069534E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.014 | tokens per gpu per second (tgs): 1025.831 | TFLOPs: 0.88 |
 iteration       75/     100 | consumed samples:        76800 | consumed tokens:     19660800 | elapsed time per iteration (ms): 127805.8 | learning rate: 1.391E-05 | global batch size:  1024 | lm loss: 9.056828E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.012 | tokens per gpu per second (tgs): 1025.556 | TFLOPs: 0.88 |
 iteration       76/     100 | consumed samples:        77824 | consumed tokens:     19922944 | elapsed time per iteration (ms): 127367.7 | learning rate: 1.332E-05 | global batch size:  1024 | lm loss: 9.063035E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.040 | tokens per gpu per second (tgs): 1029.083 | TFLOPs: 0.89 |
 iteration       77/     100 | consumed samples:        78848 | consumed tokens:     20185088 | elapsed time per iteration (ms): 127554.6 | learning rate: 1.275E-05 | global batch size:  1024 | lm loss: 9.040206E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.028 | tokens per gpu per second (tgs): 1027.576 | TFLOPs: 0.88 |
 iteration       78/     100 | consumed samples:        79872 | consumed tokens:     20447232 | elapsed time per iteration (ms): 127605.9 | learning rate: 1.220E-05 | global batch size:  1024 | lm loss: 9.042128E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.025 | tokens per gpu per second (tgs): 1027.162 | TFLOPs: 0.88 |
 iteration       79/     100 | consumed samples:        80896 | consumed tokens:     20709376 | elapsed time per iteration (ms): 127452.3 | learning rate: 1.167E-05 | global batch size:  1024 | lm loss: 9.041411E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.034 | tokens per gpu per second (tgs): 1028.400 | TFLOPs: 0.89 |
 iteration       80/     100 | consumed samples:        81920 | consumed tokens:     20971520 | elapsed time per iteration (ms): 128389.0 | learning rate: 1.116E-05 | global batch size:  1024 | lm loss: 9.028487E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.976 | tokens per gpu per second (tgs): 1020.898 | TFLOPs: 0.88 |
 iteration       81/     100 | consumed samples:        82944 | consumed tokens:     21233664 | elapsed time per iteration (ms): 128100.4 | learning rate: 1.067E-05 | global batch size:  1024 | lm loss: 9.032481E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.994 | tokens per gpu per second (tgs): 1023.198 | TFLOPs: 0.88 |
 iteration       82/     100 | consumed samples:        83968 | consumed tokens:     21495808 | elapsed time per iteration (ms): 128148.0 | learning rate: 1.020E-05 | global batch size:  1024 | lm loss: 9.019948E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.991 | tokens per gpu per second (tgs): 1022.817 | TFLOPs: 0.88 |
 iteration       83/     100 | consumed samples:        84992 | consumed tokens:     21757952 | elapsed time per iteration (ms): 128254.0 | learning rate: 9.760E-06 | global batch size:  1024 | lm loss: 9.017639E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.984 | tokens per gpu per second (tgs): 1021.972 | TFLOPs: 0.88 |
 iteration       84/     100 | consumed samples:        86016 | consumed tokens:     22020096 | elapsed time per iteration (ms): 128207.1 | learning rate: 9.340E-06 | global batch size:  1024 | lm loss: 9.008136E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.987 | tokens per gpu per second (tgs): 1022.346 | TFLOPs: 0.88 |
 iteration       85/     100 | consumed samples:        87040 | consumed tokens:     22282240 | elapsed time per iteration (ms): 127765.3 | learning rate: 8.943E-06 | global batch size:  1024 | lm loss: 9.012583E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.015 | tokens per gpu per second (tgs): 1025.881 | TFLOPs: 0.88 |
 iteration       86/     100 | consumed samples:        88064 | consumed tokens:     22544384 | elapsed time per iteration (ms): 127690.4 | learning rate: 8.570E-06 | global batch size:  1024 | lm loss: 9.000789E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.019 | tokens per gpu per second (tgs): 1026.483 | TFLOPs: 0.88 |
 iteration       87/     100 | consumed samples:        89088 | consumed tokens:     22806528 | elapsed time per iteration (ms): 127650.9 | learning rate: 8.221E-06 | global batch size:  1024 | lm loss: 8.998281E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.022 | tokens per gpu per second (tgs): 1026.800 | TFLOPs: 0.88 |
 iteration       88/     100 | consumed samples:        90112 | consumed tokens:     23068672 | elapsed time per iteration (ms): 127970.3 | learning rate: 7.896E-06 | global batch size:  1024 | lm loss: 8.990381E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.002 | tokens per gpu per second (tgs): 1024.238 | TFLOPs: 0.88 |
 iteration       89/     100 | consumed samples:        91136 | consumed tokens:     23330816 | elapsed time per iteration (ms): 127639.7 | learning rate: 7.596E-06 | global batch size:  1024 | lm loss: 8.987712E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.023 | tokens per gpu per second (tgs): 1026.890 | TFLOPs: 0.88 |
 iteration       90/     100 | consumed samples:        92160 | consumed tokens:     23592960 | elapsed time per iteration (ms): 127937.5 | learning rate: 7.321E-06 | global batch size:  1024 | lm loss: 8.997582E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.004 | tokens per gpu per second (tgs): 1024.500 | TFLOPs: 0.88 |
 iteration       91/     100 | consumed samples:        93184 | consumed tokens:     23855104 | elapsed time per iteration (ms): 128098.0 | learning rate: 7.072E-06 | global batch size:  1024 | lm loss: 8.987689E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.994 | tokens per gpu per second (tgs): 1023.217 | TFLOPs: 0.88 |
 iteration       92/     100 | consumed samples:        94208 | consumed tokens:     24117248 | elapsed time per iteration (ms): 128067.6 | learning rate: 6.848E-06 | global batch size:  1024 | lm loss: 8.983698E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.996 | tokens per gpu per second (tgs): 1023.460 | TFLOPs: 0.88 |
 iteration       93/     100 | consumed samples:        95232 | consumed tokens:     24379392 | elapsed time per iteration (ms): 128347.0 | learning rate: 6.650E-06 | global batch size:  1024 | lm loss: 8.962202E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.978 | tokens per gpu per second (tgs): 1021.232 | TFLOPs: 0.88 |
 iteration       94/     100 | consumed samples:        96256 | consumed tokens:     24641536 | elapsed time per iteration (ms): 127745.3 | learning rate: 6.478E-06 | global batch size:  1024 | lm loss: 8.975594E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.016 | tokens per gpu per second (tgs): 1026.042 | TFLOPs: 0.88 |
 iteration       95/     100 | consumed samples:        97280 | consumed tokens:     24903680 | elapsed time per iteration (ms): 127298.6 | learning rate: 6.332E-06 | global batch size:  1024 | lm loss: 8.954787E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.044 | tokens per gpu per second (tgs): 1029.642 | TFLOPs: 0.89 |
 iteration       96/     100 | consumed samples:        98304 | consumed tokens:     25165824 | elapsed time per iteration (ms): 127308.6 | learning rate: 6.213E-06 | global batch size:  1024 | lm loss: 8.968536E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.043 | tokens per gpu per second (tgs): 1029.561 | TFLOPs: 0.89 |
 iteration       97/     100 | consumed samples:        99328 | consumed tokens:     25427968 | elapsed time per iteration (ms): 128038.3 | learning rate: 6.120E-06 | global batch size:  1024 | lm loss: 8.958909E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.998 | tokens per gpu per second (tgs): 1023.694 | TFLOPs: 0.88 |
 iteration       98/     100 | consumed samples:       100352 | consumed tokens:     25690112 | elapsed time per iteration (ms): 127871.6 | learning rate: 6.053E-06 | global batch size:  1024 | lm loss: 8.959985E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.008 | tokens per gpu per second (tgs): 1025.028 | TFLOPs: 0.88 |
 iteration       99/     100 | consumed samples:       101376 | consumed tokens:     25952256 | elapsed time per iteration (ms): 127554.7 | learning rate: 6.013E-06 | global batch size:  1024 | lm loss: 8.952526E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.028 | tokens per gpu per second (tgs): 1027.575 | TFLOPs: 0.88 |
 iteration      100/     100 | consumed samples:       102400 | consumed tokens:     26214400 | elapsed time per iteration (ms): 127363.4 | learning rate: 6.000E-06 | global batch size:  1024 | lm loss: 8.956899E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.040 | tokens per gpu per second (tgs): 1029.118 | TFLOPs: 0.89 |
----------------------------------------------------------------------------------------------------------------------------------------
 validation loss at iteration 100 on 40960-sample draw from validation set | lm loss value: 8.951041E+00 | lm loss PPL: 7.715922E+03 | 
----------------------------------------------------------------------------------------------------------------------------------------
[2024-10-21 07:26:24,043] [INFO] [launch.py:351:main] Process 13700 exits successfully.
